"Carimbo de data/hora","Você já utilizou algum frete?","Com que frequência?","Qual o mais frequente?","Qual a forma utilizada para contatar o motorista?","Qual critério na escolha do motorista?","Sua opinião em relação ao preço cobrado","Metodo de pagamento mais utilizado","Você conhece algum sistema que ajude no uso desse serviço?","Se sim, qual?","Gostaria de usar a tecnologia para auxiliar na sua procura?","Porque não conseguiu?","Porque nunca utilizou?","Porque não gosta ou confia no serviço?"
"2017/09/21 5:00:37 PM GMT-3","Sim","Raramente","Motoboy","O motorista é um conhecido;Fui pessoalmente ao local onde o motorista fica","Preço;Distância do local onde eu estava;Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Sim","","Não","","",""
"2017/09/21 5:01:02 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 5:01:28 PM GMT-3","Sim","Frequentemente","Correios ","Site dos correios","Eu nao escolho","Abusivo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 5:01:34 PM GMT-3","Sim","Raramente","Motoboy","Contato com Cooperativa(motoboy)","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Não","","",""
"2017/09/21 5:01:34 PM GMT-3","Sim","Raramente","Caminhão Grande Porte","Pesquisei na internet","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:01:43 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Pegou o número com alguém;Fui pessoalmente ao local onde o motorista fica","Preço","Abusivo, mas sei que envolve manutenção no veículo mesmo assim pagar 40 reais pra andar 5 quadra as vezes é sacanagem, pq 40 é o preço fixo, e quando é no interior 2,50 o km fora o preço fixo, abusivo de maaais","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:02:05 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém;O motorista é um conhecido;Pesquisei na internet;Fui pessoalmente ao local onde o motorista fica","Segurança;Preço;Distância do local onde eu estava","não diria abusivo, mas caro","Dinheiro","Não","","Talvez","","",""
"2017/09/21 5:02:11 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Viu o número em uma placa;Pegou o número com alguém;Fui pessoalmente ao local onde o motorista fica","Preço;Distância do local onde eu estava","Barato","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:02:37 PM GMT-3","Sim","Frequentemente","Caminhão Grande Porte","O motorista é um conhecido","Segurança;Preço","Barato","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:02:55 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém","Preço","Justo","Dinheiro","Não","","Sim","","",""
